Week;Weekday;Begin date;Begin time;End date;End time;Course;Programme;Group;Room;Reason;Teacher;Comment;Map;Equipment
w9;Friday;2024-03-01;10:15;2024-03-01;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;
w10;Tuesday;2024-03-05;10:15;2024-03-05;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;90103, Ångström, 101146, Ångström, 101162, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-90103, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101146, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101162;
w10;Friday;2024-03-08;08:15;2024-03-08;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;;Presentation;;;;
w10;Friday;2024-03-08;10:15;2024-03-08;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;;Presentation;;;;
w10;Friday;2024-03-08;13:15;2024-03-08;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;;Presentation;;;;
w12;Tuesday;2024-03-19;10:15;2024-03-19;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w12;Wednesday;2024-03-20;10:15;2024-03-20;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w12;Friday;2024-03-22;10:15;2024-03-22;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w13;Monday;2024-03-25;08:15;2024-03-25;10:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w13;Friday;2024-03-29;00:00;2024-03-30;00:00;Långfredag;;;;;;;;
