_id,Week,Weekday,Begin_date,Begin_time,End_date,End_time,Course,Programme,Group,Room,Reason,Teacher,Comment,Map,Equipment
669f8582df33e678170a3e63,w6;Thursday;2024-02-08;10:15;2024-02-08;12:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,
669f8582df33e678170a3e64,w6;Thursday;2024-02-08;15:15;2024-02-08;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,
669f8582df33e678170a3e65,w6;Friday;2024-02-09;08:15;2024-02-09;10:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;,,,,,,,,
669f8582df33e678170a3e66,w7;Monday;2024-02-12;15:15;2024-02-12;17:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;101132, Ångström, 101146, Ångström, 101162, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101132, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101146, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101162;,,,
669f8582df33e678170a3e67,w7;Tuesday;2024-02-13;13:15;2024-02-13;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e68,w7;Wednesday;2024-02-14;15:15;2024-02-14;17:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4001;,,,,,,,,,
669f8582df33e678170a3e69,w7;Friday;2024-02-16;10:15;2024-02-16;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;,,,,,,,,
669f8582df33e678170a3e6a,w7;Friday;2024-02-16;13:15;2024-02-16;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e6b,w8;Tuesday;2024-02-20;08:15;2024-02-20;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e6c,w8;Tuesday;2024-02-20;10:15;2024-02-20;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e6d,w8;Wednesday;2024-02-21;15:15;2024-02-21;17:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e6e,w8;Thursday;2024-02-22;08:15;2024-02-22;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e6f,w8;Thursday;2024-02-22;10:15;2024-02-22;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e70,w8;Friday;2024-02-23;10:15;2024-02-23;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;,,,,,,,,
669f8582df33e678170a3e71,w8;Friday;2024-02-23;13:15;2024-02-23;15:00;Data Engineering I;IT4, MasBildMask1, MasDataAn1;;101130, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101130;,,,,,,,,,,,
669f8582df33e678170a3e72,w9;Monday;2024-02-26;08:15;2024-02-26;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e73,w9;Monday;2024-02-26;10:15;2024-02-26;12:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e74,w9;Monday;2024-02-26;15:15;2024-02-26;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e75,w9;Tuesday;2024-02-27;08:15;2024-02-27;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e76,w9;Tuesday;2024-02-27;10:15;2024-02-27;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Seminar;;;;,,,,,,,,,,,
669f8582df33e678170a3e77,w9;Tuesday;2024-02-27;13:15;2024-02-27;15:00;Data Engineering I;F4.B.ai, IT4, MasBildMask1, MasDataAn1, MasIndAnalys1, MasSciCom1;;10101, Siegbahnsalen, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-10101;,,,,,,,
669f8582df33e678170a3e78,w9;Wednesday;2024-02-28;10:15;2024-02-28;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;2001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-2001;,,,,,,,,,
669f8582df33e678170a3e79,w9;Wednesday;2024-02-28;13:15;2024-02-28;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e7a,w9;Wednesday;2024-02-28;15:15;2024-02-28;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e7b,w9;Thursday;2024-02-29;13:15;2024-02-29;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e7c,w9;Thursday;2024-02-29;13:15;2024-02-29;15:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;4001, Ångström;Lecture;;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4001;,,,,,,,,,
669f8582df33e678170a3e7d,w9;Thursday;2024-02-29;15:15;2024-02-29;17:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;Via Zoom;Laboratory experiment;;;;,,,,,,,,,,,
669f8582df33e678170a3e7e,w9;Friday;2024-03-01;10:15;2024-03-01;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;10K1201, Computer room, Ångström;Laboratory experiment;;;https://link.mazemap.com/1SNivutJ;,,,,,,,,
669f8582df33e678170a3e7f,w10;Tuesday;2024-03-05;10:15;2024-03-05;12:00;High Performance Programming;F4.B.tb, IT4, KandDv3, MasSciCom1, MasStatMat1;;90103, Ångström, 101146, Ångström, 101162, Ångström;Seminar;;;https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-90103, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101146, https://use.mazemap.com/?campusid=49&sharepoitype=identifier&sharepoi=%C3%85ngstr%C3%B6m-101162;,,,
669f8582df33e678170a3e80,w10;Friday;2024-03-08;08:15;2024-03-08;10:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;;Presentation;;;;,,,,,,,,,,,
669f8582df33e678170a3e81,w10;Friday;2024-03-08;10:15;2024-03-08;12:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;;Presentation;;;;,,,,,,,,,,,
669f8582df33e678170a3e82,w10;Friday;2024-03-08;13:15;2024-03-08;15:00;Data Engineering I;F4.B.ai, IT4, MasIndAnalys1, MasSciCom1;;;Presentation;;;;,,,,,,,,,,,
